Estación:       XALAPAob,  VER
Operada por:    SMN ESIME
Longitud:       96°54'14"  Longitud: 19°30'43  Altitud: 1360

DD/MM/AAAA HH:MM      DIRS      DIRR  RAPVIENTO2  RAPRAFAGA2      TEMP        HR        PB      PREC   RAD-SOL
06/11/2014 15:00         284         360        1.10        2.10        19.5          71       870.5         0.0       249.0
06/11/2014 15:10         269          56        1.10        2.30        20.1          67       870.5         0.0       386.0
06/11/2014 15:20         227         300        0.90        2.00        21.0          62       870.6         0.0       377.0
06/11/2014 15:30          33         209        0.60        1.60        21.3          60       870.7         0.0       307.0
06/11/2014 15:40          22         200        0.80        2.50        21.4          65       870.8         0.0       368.0
06/11/2014 15:50          75         143        1.10        2.90        21.6          69       870.9         0.0       278.0
06/11/2014 16:00          98         173        1.70        3.40        20.9          73       870.9         0.0       362.0
06/11/2014 16:10         113         247        1.70        3.80        21.4          73       870.9         0.0       509.0
06/11/2014 16:20          94         162        1.90        3.60        21.4          73       870.8         0.0       411.0
06/11/2014 16:30          87         271        1.40        3.20        21.6          72       870.8         0.0       419.0
06/11/2014 16:40         101         171        1.70        3.40        21.1          73       870.8         0.0       468.0
06/11/2014 16:50         116         155        2.00        3.90        21.8          70       870.7         0.0       525.0
06/11/2014 17:00         112         223        1.60        3.60        22.8          70       870.5         0.0       663.0
06/11/2014 17:10          94         163        2.00        4.30        22.2          69       870.5         0.0       500.0
06/11/2014 17:20          57         212        1.40        3.10        22.2          69       870.4         0.0       395.0
06/11/2014 17:30          66         260        1.30        3.50        22.2          69       870.3         0.0       459.0
06/11/2014 17:40          81         243        1.40        4.40        22.1          70       870.2         0.0       399.0
06/11/2014 17:50          54         163        1.30        3.50        22.5          68       870.0         0.0       428.0
06/11/2014 18:00          82         179        1.30        2.80        22.5          68       869.9         0.0       784.0
06/11/2014 18:10         137         240        2.00        4.00        22.2          68       869.7         0.0       639.0
06/11/2014 18:20         111         183        2.10        4.60        23.5          65       869.6         0.0       926.0
