sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.2298;5.6264;7.8673;-0.4184;5.5322;8.0864;0.1886;0.0942;-0.2191;0.0708;-0.0046;0.0324;2.46;-19.88;4.03;186.72;-34.34;2.96;2.0;70.197;19.519403;-96.915215;;;198.3871;0 / 1;87.3;91.0;4.105;167;2014-11-08 13:50:46:391
-0.3699;5.7664;8.163;-0.3833;5.5798;8.0554;0.1181;0.0345;-0.4306;-0.039;0.1132;-0.052;2.34;-20.09;3.86;186.69;-34.68;2.72;2.0;68.845;19.519403;-96.915215;;;198.3871;0 / 1;87.3;91.0;4.105;716;2014-11-08 13:50:46:940
-0.2646;5.8251;8.2145;-0.3925;5.6224;8.0252;0.0956;0.0135;-0.2333;-0.0259;0.0054;0.0063;2.06;-20.15;3.84;186.72;-34.91;2.85;2.0;68.491;19.519403;-96.915215;;;198.3871;0 / 1;87.3;91.0;4.105;1222;2014-11-08 13:50:47:446
-0.2921;5.7832;8.1451;-0.4297;5.5574;8.0686;0.1376;0.2258;0.0765;0.002;-0.0249;-0.019;2.49;-19.64;3.77;186.78;-34.81;3.14;2.0;69.765;19.519403;-96.915215;;;198.3871;0 / 1;87.3;91.0;4.105;1744;2014-11-08 13:50:47:968
-0.1317;5.5964;7.9344;-0.3942;5.573;8.0596;-0.046;-0.01;-0.0444;-0.039;0.0634;0.0368;2.44;-19.53;3.62;186.7;-34.63;2.8;2.0;57.5;19.519403;-96.915215;;;198.3871;0 / 1;87.3;91.0;4.105;2261;2014-11-08 13:50:48:485
-0.346;5.618;8.0864;-0.3555;5.6172;8.0307;0.0347;-0.065;-0.2974;-0.0283;-0.0371;-0.0083;2.36;-19.51;3.97;186.66;-34.95;2.53;2.0;48.956;19.519403;-96.915215;;;198.3871;0 / 1;87.3;91.0;4.105;2766;2014-11-08 13:50:48:990
-0.3747;5.5354;7.7979;-0.3652;5.6175;8.03;-0.0095;-0.0821;-0.2321;0.0029;0.0654;-0.0266;2.44;-19.58;4.01;186.67;-34.95;2.6;2.0;59.672;19.519403;-96.915215;;;198.3871;0 / 1;87.3;91.0;4.105;3288;2014-11-08 13:50:49:512
-0.4525;5.5737;7.8434;-0.3746;5.6864;7.9809;-0.078;-0.1127;-0.1375;0.0429;0.0132;5.0E-4;1.89;-20.09;3.79;186.72;-35.44;2.69;2.0;42.433;19.519403;-96.915215;;;198.3871;0 / 1;87.3;91.0;4.105;3808;2014-11-08 13:50:50:032
-0.4178;5.6731;8.169;-0.3982;5.6675;7.9932;0.09;-0.0784;0.0201;-0.0015;-0.0305;0.0127;1.91;-20.02;3.8;186.74;-35.3;2.85;2.0;39.396;19.519403;-96.915215;;;198.3871;0 / 1;87.3;91.0;4.105;4327;2014-11-08 13:50:50:551
-0.7099;5.4492;8.3414;-0.5515;5.5115;8.0926;0.115;0.0441;-0.0064;0.0473;0.001;-0.0625;2.62;-19.66;2.77;190.02;-34.09;3.97;2.0;67.28;19.519403;-96.915215;;;198.3871;0 / 1;87.3;91.0;4.105;4834;2014-11-08 13:50:51:058
