ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),Satellites in range,Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.9553,6.0142,6.9887,1.9349,7.2055,6.3646,-2.8902,-1.1912,0.6241,-0.3855,0.8237,0.7061,21.98,1.84,-23.52,296.99,-50.07,-16.36,2,55.734,19.519304,-96.91517,,,164.51613,0 / 3,86.4,90,4.115,71,2014-11-08 13:52:55:131
-0.3855,4.2952,8.266,2.3434,6.4066,7.0452,-2.7289,-2.1114,1.2208,-0.0512,0.4958,0.3474,24.31,-2.51,-21.7,281.36,-42,-20.17,2,54.982,19.519304,-96.91517,,,164.51613,0 / 3,86.4,90,4.115,591,2014-11-08 13:52:55:651
0.7709,0.0455,9.1602,2.8094,2.2039,9.1335,-2.6971,-1.8761,2.1002,-0.183,0.3672,0.5324,25.94,4.7,-22.69,284.61,-18.73,-16.77,2,52.904,19.519304,-96.91517,,,164.51613,0 / 9,86.4,90,4.115,1112,2014-11-08 13:52:56:172
0.8523,1.2857,9.4128,3.4089,0.9235,9.1486,-3.0084,0.3128,1.2494,0.2342,0.5807,0.7415,21.7,-7.25,-24.7,259.69,-5.98,-22.98,2,63.056,19.519304,-96.91517,,,164.51613,0 / 10,86.4,90,4.115,1655,2014-11-08 13:52:56:715
1.2677,1.1708,7.7141,2.9591,1.7599,9.1824,-1.6914,-0.5891,-1.4683,0.182,0.5387,-0.0234,20.65,-12.48,-23.78,252.05,-10.34,-17.86,2,73.874,19.519304,-96.91517,,,164.51613,0 / 10,86.4,90,4.115,2158,2014-11-08 13:52:57:218
1.7071,1.8555,11.1235,2.5163,1.3947,9.3751,-0.8093,0.4609,1.7483,-0.2708,-0.2247,0.2408,22.32,-13.31,-23.18,248.86,-8.18,-15.02,2,68.209,19.519304,-96.91517,,,164.51613,0 / 10,86.4,90,4.115,2666,2014-11-08 13:52:57:726
1.5814,2.5163,9.1518,2.9089,2.3057,9.077,-1.3275,0.2106,0.0748,-0.1103,-0.0666,-0.7881,14.52,-12.54,-15.24,240.91,-12.94,-17.84,2,49.93,19.519304,-96.91517,,,164.51613,0 / 10,86.4,90,4.115,3249,2014-11-08 13:52:58:309
1.2222,1.7166,9.1255,0.9641,3.2335,9.2079,0.2581,-1.5168,-0.0824,-0.2411,-0.3538,-0.8795,19.49,12.74,-19.92,310.91,-19.25,-5.98,2,57.245,19.519304,-96.91517,,,164.51613,0 / 10,86.4,90,4.115,3765,2014-11-08 13:52:58:825
1.172,1.5562,8.272,0.8711,2.8123,9.3543,0.3008,-1.2561,-1.0823,-0.4221,-0.933,-0.7517,14.17,22.04,-23.24,327.1,-15.99,-2.28,2,51.818,19.519304,-96.91517,,,164.51613,0 / 10,86.4,90,4.115,4325,2014-11-08 13:52:59:385
2.6085,2.3236,10.3645,1.4667,1.8111,9.5257,0.5672,-0.6618,0.9549,-0.1357,0.3508,0.2006,-4.29,31.54,-27.89,359.52,-10.64,-8.75,2,53.792,19.519304,-96.91517,,,164.51613,0 / 12,86.4,90,4.115,4862,2014-11-08 13:52:59:922
